ID,customer_INN,provider_INN,order_price
411631361384158,1835048910,5920034144,84010.01
883972649649580,1835048910,5920034144,84010.02
776595161913175,1835048910,5920034144,84010.03
930479398910246,7810201170,7830000426,100740.0
698786687847432,5027001466,5011017573,45600.0
442409319271435,5027001466,5011017573,133950.0
211352435446641,5034066506,4705067040,34966.29
852672523477856,7130006648,7105049045,12500.0
185318121679577,7130006648,7105049045,4200.0
738604650222134,7130006648,7105049045,252.0
10926730571317,7130006648,7105049045,1200.0
156542979021090,7130006648,7105049045,1600.0
836345219896570,7130006648,7105049045,115.46
612076979984405,7130006648,7105049045,12375.0
853469097208863,7130006648,7105049045,8060.0
610058301421228,7130006648,7105049045,12000.0
175880205133966,7105025661,7105049045,171990.0
668483940560092,6626011384,6679003789,7956633.0
658412244144067,6626011384,6679003789,7664517.0
496508487106035,6626011384,6679003789,1890540.0
454781215153090,6626011384,6679003789,1828008.0
415193842239702,1829013349,1841003227,67887.0
308293925424985,2313012569,231300727026,99201.6
855299250505355,2633001686,2302065946,504000.0
960355910612069,2633001686,2302065946,770000.0
404766842602771,7701031585,7825438895,5100.0
905670468987684,7701031585,7825438895,2550.0
896767008577567,7701031585,7825438895,23040.0
492444620082645,7701031585,7825438895,3560.0
834820109864799,7701031585,7825438895,5.06
648558047594627,7701031585,7825438895,3046.95
128399271302215,7701031585,7825438895,3480.0
997117230704615,1658023383,1633010449,13989600.0
885456061366363,4825053547,4824054957,93132.0
124193094071810,2129034779,2129051830,49400.0
794408332155596,2129034779,2129051830,204680.0
536611681644756,2129034779,2129051830,29856.0
474253393959667,7820020247,4703108968,89781.6
131421005073853,1829013349,182901656839,21004.01
68295403523658,1829013349,182901656839,21004.02
832579051236859,1829013349,182901656839,21004.03
915544973716385,7714338609,7701917006,147840.0
154592777639019,4632047868,4632249960,83846.78
400745224611894,7826718310,7825444176,70272.0
263570148754685,7806042400,7830000426,50273.73
174704720781597,7806042400,7830000426,55400.0
253516490915331,7806042400,7830000426,46520.43
522089122924571,3625007647,3625007213,807840.0
946008240640760,7801137031,32621349132,117216.76
64559975469421,7801137031,32621349132,58608.39
18931423560594,7106034980,480100999444,91700.0
949507948829922,7106034980,480100999444,39980.0
932311423863543,7106034980,480100999444,42075.0
503021297126856,7106034980,480100999444,21.79
364984820888106,7106034980,480100999444,34519.21
896246071630338,7106034980,480100999444,18490.0
132855866060560,3664245109,3665005646,279970.14
99779199365955,3664245109,3665005646,279970.14
521782949052060,5752028869,5752202517,15577.63
345441614701207,5752028869,5752202517,74.26
851515278124120,5752028869,5752202517,15500.36
734034445863115,5752028869,5752202517,15577.63
625441507505766,7714338609,7726311464,33187.0
473672608618520,6731031630,673100533312,459622.8
86369761323098,6731031630,673100533312,102843.0
748754232461833,6731031630,673100533312,16731.0
991716376211430,6731031630,673100533312,1863.81
827642629016289,6731031630,673100533312,80548.65
812849460298518,6731031630,673100533312,9961.38
429825062097970,6731031630,673100533312,9961.38
368096785910501,6731031630,673100533312,176588.1
662995089547976,6731031630,673100533312,181326.6
654922138991405,6731031630,673100533312,180694.8
966023498977559,7130006648,7105049045,167112.0
832524347324932,7130006648,7105049045,22400.0
573631762914595,7714040019,7701727870,107415.0
429752523439641,7105025661,7105049045,562.42
718592693593765,7105025661,7105049045,13473.6
401028287778889,1658122828,1656067515,773834.0
215616677908885,7827001540,7804678913,25184.02
959841460643901,7810214959,9702024369,90466.2
307213515606716,7810214959,9702024369,94921.2
804690151272106,3018013020,3017056790,871906.5
551956670826760,3018013020,3017056790,336000.0
756578268039562,3018013020,3017056790,105840.0
471593955131899,3018013020,3017056790,136080.0
228338237761127,7811066358,7804678913,100117.8
824245123950032,7811066358,7804678913,92031.54
524448498756463,7811066358,7804678913,97647.36
683268202766439,7811066358,7804678913,525797.16
136932337834767,7811066358,7804678913,93567.66
263420897381585,7801137031,784802495235,327.68
738290914769062,7801137031,784802495235,20984.32
72519138175320,3517003557,352101801716,942549.86
826279620850864,1832019693,1834015366,1333333.333
953134391442350,1832019693,1834015366,1333333.334
629229013111492,1832019693,1834015366,1333333.335
630956209389844,6731031630,673100533312,4627.35
642533688039400,6731031630,673100533312,109512.0
664688332430345,6731031630,673100533312,34222.5
818742497293514,7805639459,1686028464,680000.0
655198621950966,7714338609,7726311464,40279.8
204345555153488,7702764296,7704154666,1641114.72
711427143848455,7702764296,7704154666,825750.96
54359102035166,7702764296,7704154666,1100621.1
191685354425275,7702764296,7704154666,550851.84
485888788550256,7702764296,7704154666,825707.52
424982442479169,7702764296,7704154666,1608511.2
587555449335744,7702764296,7704154666,796911.36
698301418960208,5008043118,5008029723,8553228.55
590416446113462,6658220359,6671283421,642470.4
189557355925440,7801137031,7840020132,41875.35
264907092911290,7806029833,7811536109,39335.76
872600159041210,7806029833,7811536109,6200.0
69141394045101,7806029833,7811536109,4311.06
761999386299108,7806029833,7811536109,2400.0
489138494320371,7806029833,7811536109,128401.44
160603653509965,7806029833,7811536109,36139.68
534886821003518,7806029833,7811536109,134654.64
726798837067076,7806029833,7811536109,45236.16
50086596994464,7806029833,7811536109,35107.08
784036948285386,7806029833,7811536109,47497.92
387121287410261,7806029833,7811536109,33435.36
43640513937114,7806029833,7811536109,34418.76
772717392297811,7806029833,7811536109,41700.0
533092428541607,7806029833,7811536109,46465.32
817720662713759,7806029833,7811536109,2450.0
573183889925414,7806029833,7811536109,4114.94
246137957695951,7806029833,7811536109,6600.0
971897034899107,7806029833,7811536109,43850.0
633835735026567,7806029833,7811536109,41302.56
390161879462235,7806029833,7811536109,44252.76
109186716531592,5008053003,7743404140,3000000.0
959036674975429,7806440754,7825444176,295.2
886186570259812,7806440754,7825444176,62294.4
636517638031981,7801136542,7806118152,2362555.68
470567343062579,7801136542,7806118152,2455128.0
